plant type,location name,year,latitude (deg),longitude (deg),capacity (tonne),amount processed (tonne),amount received (tonne),amount in storage (tonne),utilization factor (%),energy (GJ),opening cost ($),expansion cost ($),fixed operating cost ($),variable operating cost ($),storage cost ($),total cost ($)
PV Manufacturing Plant,"R D Morrow, Mississippi",1,31.197586,-89.506369,1.0395480423e8,1.719167338e7,1.719167338e7,0.0,16.54,3.41720000914e9,2.174887333e8,0.0,2.03679828e7,3.437915537816e10,0.0,3.461701209426e10
PV Manufacturing Plant,"R D Morrow, Mississippi",2,31.197586,-89.506369,1.0395480423e8,4.97478019e6,4.97478019e6,0.0,4.79,9.8884026733e8,0.0,0.0,2.03679828e7,9.94834750778e9,0.0,9.96871549058e9
PV Manufacturing Plant,"R D Morrow, Mississippi",3,31.197586,-89.506369,1.0395480423e8,4.16508703e6,4.16508703e6,0.0,4.01,8.2789703592e8,0.0,0.0,2.03679828e7,8.32915859731e9,0.0,8.34952658011e9
PV Manufacturing Plant,"R D Morrow, Mississippi",4,31.197586,-89.506369,1.0395480423e8,4.12500422e6,4.12500422e6,0.0,3.97,8.1992974985e8,0.0,0.0,2.03679828e7,8.24900274903e9,0.0,8.26937073183e9
PV Manufacturing Plant,"R D Morrow, Mississippi",5,31.197586,-89.506369,1.0395480423e8,5.39572805e6,5.39572805e6,0.0,5.19,1.07251234598e9,0.0,0.0,2.03679828e7,1.079014060892e10,0.0,1.081050859172e10
PV Manufacturing Plant,"R D Morrow, Mississippi",6,31.197586,-89.506369,1.0395480423e8,5.33101721e6,5.33101721e6,0.0,5.13,1.05964973013e9,0.0,0.0,2.03679828e7,1.06607347012e10,0.0,1.0681102684e10
PV Manufacturing Plant,"R D Morrow, Mississippi",7,31.197586,-89.506369,1.0395480423e8,3.17255054e6,3.17255054e6,0.0,3.05,6.3060991783e8,0.0,0.0,2.03679828e7,6.34432760445e9,0.0,6.36469558725e9
PV Manufacturing Plant,"R D Morrow, Mississippi",8,31.197586,-89.506369,1.0395480423e8,3.14444609e6,3.14444609e6,0.0,3.02,6.2502357739e8,0.0,0.0,2.03679828e7,6.28812554859e9,0.0,6.30849353139e9
PV Manufacturing Plant,"R D Morrow, Mississippi",9,31.197586,-89.506369,1.0395480423e8,6.40038378e6,6.40038378e6,0.0,6.16,1.27220841426e9,0.0,0.0,2.03679828e7,1.279920713746e10,0.0,1.281957512026e10
PV Manufacturing Plant,"R D Morrow, Mississippi",10,31.197586,-89.506369,1.0395480423e8,6.36885268e6,6.36885268e6,0.0,6.13,1.26594095622e9,0.0,0.0,2.03679828e7,1.273615261535e10,0.0,1.275652059815e10
PV Manufacturing Plant,"R D Morrow, Mississippi",11,31.197586,-89.506369,1.0395480423e8,5.65920654e6,5.65920654e6,0.0,5.44,1.12488413445e9,0.0,0.0,2.03679828e7,1.131703334224e10,0.0,1.133740132504e10
PV Manufacturing Plant,"R D Morrow, Mississippi",12,31.197586,-89.506369,1.0395480423e8,5.63694974e6,5.63694974e6,0.0,5.42,1.12046013763e9,0.0,0.0,2.03679828e7,1.127252518543e10,0.0,1.129289316823e10
PV Manufacturing Plant,"R D Morrow, Mississippi",13,31.197586,-89.506369,1.0395480423e8,3.74849788e6,3.74849788e6,0.0,3.61,7.450913415e8,0.0,0.0,2.03679828e7,7.4960818599e9,0.0,7.5164498427e9
PV Manufacturing Plant,"R D Morrow, Mississippi",14,31.197586,-89.506369,1.0395480423e8,3.73534739e6,3.73534739e6,0.0,3.59,7.4247741118e8,0.0,0.0,2.03679828e7,7.4697840968e9,0.0,7.4901520796e9
PV Manufacturing Plant,"R D Morrow, Mississippi",15,31.197586,-89.506369,1.0395480423e8,843898.05,843898.05,0.0,0.81,1.6774215932e8,0.0,0.0,2.03679828e7,1.68759034983e9,0.0,1.70795833263e9
PV Manufacturing Plant,"R D Morrow, Mississippi",16,31.197586,-89.506369,1.0395480423e8,841225.98,841225.98,0.0,0.81,1.6721103111e8,0.0,0.0,2.03679828e7,1.68224687002e9,0.0,1.70261485282e9
PV Manufacturing Plant,"R D Morrow, Mississippi",17,31.197586,-89.506369,1.0395480423e8,2.27251093e6,2.27251093e6,0.0,2.19,4.5170846434e8,0.0,0.0,2.03679828e7,4.54446782149e9,0.0,4.56483580429e9
PV Manufacturing Plant,"R D Morrow, Mississippi",18,31.197586,-89.506369,1.0395480423e8,2.2659543e6,2.2659543e6,0.0,2.18,4.504051975e8,0.0,0.0,2.03679828e7,4.53135614732e9,0.0,4.55172413012e9
PV Manufacturing Plant,"R D Morrow, Mississippi",19,31.197586,-89.506369,1.0395480423e8,2.71570264e6,2.71570264e6,0.0,2.61,5.3980196591e8,0.0,0.0,2.03679828e7,5.43074318437e9,0.0,5.45111116717e9
PV Manufacturing Plant,"R D Morrow, Mississippi",20,31.197586,-89.506369,1.0395480423e8,2.70850627e6,2.70850627e6,0.0,2.61,5.3837153798e8,0.0,0.0,2.03679828e7,5.41635219061e9,0.0,5.43672017341e9
PV Manufacturing Plant,"R D Morrow, Mississippi",21,31.197586,-89.506369,1.0395480423e8,4.38729421e6,4.38729421e6,0.0,4.22,8.7206530136e8,0.0,0.0,2.03679828e7,8.7735187917e9,0.0,8.7938867745e9
PV Manufacturing Plant,"R D Morrow, Mississippi",22,31.197586,-89.506369,1.0395480423e8,4.37654484e6,4.37654484e6,0.0,4.21,8.6992864121e8,0.0,0.0,2.03679828e7,8.75202266306e9,0.0,8.77239064586e9
PV Manufacturing Plant,"R D Morrow, Mississippi",23,31.197586,-89.506369,1.0395480423e8,2.58656768e6,2.58656768e6,0.0,2.49,5.1413372624e8,0.0,0.0,2.03679828e7,5.17250474432e9,0.0,5.19287272712e9
PV Manufacturing Plant,"R D Morrow, Mississippi",24,31.197586,-89.506369,1.0395480423e8,2.58067461e6,2.58067461e6,0.0,2.48,5.1296235655e8,0.0,0.0,2.03679828e7,5.16072003735e9,0.0,5.18108802015e9
PV Manufacturing Plant,"R D Morrow, Mississippi",25,31.197586,-89.506369,1.0395480423e8,4.22602033e6,4.22602033e6,0.0,4.07,8.4000878827e8,0.0,0.0,2.03679828e7,8.45101035162e9,0.0,8.47137833442e9
PV Manufacturing Plant,"R D Morrow, Mississippi",26,31.197586,-89.506369,1.0395480423e8,4.21702285e6,4.21702285e6,0.0,4.06,8.3822035185e8,0.0,0.0,2.03679828e7,8.43301757006e9,0.0,8.45338555286e9
